Category,Program Name,URL,Description
History,"Cultural Resource Management, OCP",/programs/cultural-resource-management-ocp,"12-credit program Small class sizes Classes offered on-campus, with the option of off-campus field schools and/or internships Designed for working professionals Hands-on faculty with real-world experience in the classroom, laboratory, and/or field schools Free on-campus childcare"
History,Post-Baccalaureate Teacher Preparation in History/Social Studies for Secondary Education,/programs/post-baccalaureate-teacher-preparation-history/social-studies-secondary-education,
International Studies,"International Studies, BA",/programs/international-studies-ba,
International Studies,"Global Studies, Minor",/programs/global-studies-minor,
International Studies,"International Studies, MS",/programs/international-studies-ms,
Journalism,"Journalism, BA",/programs/journalism-ba,
Journalism,"Journalism, Minor",/programs/journalism-minor,
Language Studies,"French, BA",/programs/french-ba,
Language Studies,"Italian, BA",/programs/italian-ba,
Language Studies,"Spanish, BA",/programs/spanish-ba,Attend full- or part-time Classes on-campus or in hybrid format Course abroad opportunities in Spain and Latin America Technology-enhanced instruction Internship opportunities Financial aid and scholarships available Free on-campus child care available
Language Studies,ASL and Deaf Studies Program,/programs/asl-and-deaf-studies-program,"15-credit interdisciplinary program Starts every August Attend classes on-campus and online Hands-on instruction Opportunities to interact with the deaf community Appropriate for students interested in education, in-service teachers, and administrators"
Language Studies,English-Spanish Translation Certificate,/programs/english-spanish-translation-certificate,12-credit program Classes offered online and in hybrid format Service learning projects in local communities Hands-on faculty with real world experience Can be stacked with a Spanish major or minor
Language Studies,"World Languages, Literatures, and Cultures, Minor",/programs/world-languages-literatures-and-cultures-minor,
Language Studies,"French (Certifiable for Secondary Education), BS",/programs/french-certifiable-secondary-education-bs,
Language Studies,Italian (Certifiable for Secondary Education),/programs/italian-certifiable-secondary-education,
Language Studies,"World Languages, MA",/programs/world-languages-ma,
Language Studies,"Spanish: Inter-University Spanish Language & Culture, MA",/programs/spanish-inter-university-spanish-language-culture-ma,"A qualitatively distinctive course of study, one designed from its inception to focus primarily on the needs of Spanish teachers for the timely completion of the degree both by means of regular courses available on the Central campus which are scheduled at convenient times for teachers, and by means of the intensive modules of summer study offered both at Central and at the University of Salamanca A program that has as an integral part the linguistically and culturally valuable experience of living in a Spanish-speaking country while completing degree requirements An innovative degree awarded by Central and obtained in collaboration with the University of Salamanca, lending it both international character and the distinctive imprimatur of one of Europe's oldest and most prestigious universities"
Language Studies,Post-Baccalaureate Teacher Preparation in Modern Languages for Secondary Education,/programs/post-baccalaureate-teacher-preparation-modern-languages-secondary-education,
Latin American Studies,"Latin American Studies, Minor",/programs/latin-american-studies-minor,
Latino & Puerto Rican Studies,"Latino & Puerto Rican Studies, Minor",/programs/latino-puerto-rican-studies-minor,
Lean Manufacturing & Six Sigma,Official Certificate Program in Lean Manufacturing and Six Sigma,/programs/official-certificate-program-lean-manufacturing-and-six-sigma,
Linguistics,"Linguistics, Minor",/programs/linguistics-minor,
Linguistics,"Applied Linguistics, MA",/programs/applied-linguistics-ma,
Management,"Management, BS",/programs/management-bs,
Management Information Systems,"Management Information Systems, BS",/programs/management-information-systems-bs,
Management Information Systems,"Management Information Systems (for business majors and non-business majors), Minor",/programs/management-information-systems-business-majors-and-non-business-majors-minor,
Manufacturing Engineering,"Manufacturing Engineering Technology, BS",/programs/manufacturing-engineering-technology-bs,
Manufacturing Engineering,Official Certificate Program in Additive Manufacturing Engineering,/programs/official-certificate-program-additive-manufacturing-engineering,
Manufacturing Engineering,Official Certificate Program in Advanced Manufacturing Engineering,/programs/official-certificate-program-advanced-manufacturing-engineering,
Manufacturing Management,"Manufacturing Management, BS",/programs/manufacturing-management-bs,
Marketing,"Marketing, BS",/programs/marketing-bs,
Marketing,Marketing Minor,/programs/marketing-minor,18-credit program Small class sizes Diverse faculty possess PhDs from top universities and have extensive research and teaching experience Faculty committed to offering world class learning opportunities and helping every student succeed
Marriage & Family Therapy,"Marriage & Family Therapy, MS",/programs/marriage-family-therapy-ms,Starts every August 63-credit program Attend full-time Flexible class schedule helpful for working adults Practicum and internship opportunities Access to state-of-the-art clinical counseling laboratory Financial aid is available No GMAT/GRE required
Mathematics,"Mathematics, BA",/programs/mathematics-ba,
Mathematics,"Mathematics: Actuarial Science, BA",/programs/mathematics-actuarial-science-ba,
Mathematics,"Mathematics: Statistics, BA",/programs/mathematics-statistics-ba,
Mathematics,"Mathematics (For students completing secondary certificates), Minor",/programs/mathematics-students-completing-secondary-certificates-minor,
Mathematics,Mathematics Minor,/programs/mathematics-minor,
Mathematics,"Statistics, Minor",/programs/statistics-minor,
Mathematics,"Mathematics (Certifiable for Secondary Education), BS",/programs/mathematics-certifiable-secondary-education-bs,
Mathematics,"Mathematics, B.S. (Certifiable for elementary teaching)",/programs/mathematics-bs-certifiable-elementary-teaching,
Mathematics,"Mathematics with Specialization in Actuarial Science, MA",/programs/mathematics-specialization-actuarial-science-ma,
Mathematics,"Mathematics with Specialization in Computer Science, MA",/programs/mathematics-specialization-computer-science-ma,
Mathematics,"Mathematics with Specialization in Statistics, MA",/programs/mathematics-specialization-statistics-ma,
Mathematics,"Mathematics for Certified Teachers, MS",/programs/mathematics-certified-teachers-ms,
Mathematics,"Mathematics, MA",/programs/mathematics-ma,
Mathematics,Post-Baccalaureate Teacher Preparation in Mathematics for Secondary Education,/programs/post-baccalaureate-teacher-preparation-mathematics-secondary-education,
Mechanical Engineering,"Mechanical Engineering, BS",/programs/mechanical-engineering-bs,
Mechanical Engineering,"Mechanical Engineering Technology, BS",/programs/mechanical-engineering-technology-bs,
Mechanical Engineering,"Mechanical Engineering, MS",/programs/mechanical-engineering-ms,
Media Studies,"Media Studies, BA",/programs/media-studies-ba,"Media Studies offers three concentrations: Digital Filmmaking and TV Production; Media Analysis; and Multimedia Production and New Technologies Learn how to produce content in a studio and in the field Study abroad in places such as Rome, Paris, and Amsterdam Intern at a production studio Minor in Media Studies is also available Financial aid and scholarships available Free on-campus child care available"
Media Studies,"Integrated Multimedia Production, BA",/programs/integrated-multimedia-production-ba,"54-credit program State-of-the-art recording studios, computer labs, and Media Center Taught by hands-on faculty with real world experience in various media (e.g., broadcast, documentary, graphics, music/audio) Required experiential learning experiences that integrate a capstone project and an internship Multidisciplinary Open to transfer students Seamless transfer from 2-year Digital Arts or Media Technology programs"
Media Studies,"Media Studies, Minor",/programs/media-studies-minor,
Middle Eastern Studies,"Middle Eastern Studies, Minor",/programs/middle-eastern-studies-minor,
Music,"Music, BA",/programs/music-ba,
Music,"Music Education, BS",/programs/music-education-bs,
Music,"Music, Minor",/programs/music-minor,
Music,Post-Baccalaureate Teacher Preparation in Music Education (K-12),/programs/post-baccalaureate-teacher-preparation-music-education-k-12,
Networking,"Networking Information Technology, BS",/programs/networking-information-technology-bs,
Networking,"Networking Technology, Minor",/programs/networking-technology-minor,
Nurse Anesthesia Practice,"Doctor of Nurse Anesthesia Practice, DNAP",/programs/doctor-nurse-anesthesia-practice-dnap,
Nursing,"Nursing, BSN",/programs/nursing-bsn,
Nursing,"Nursing, RN to BSN",/programs/nursing-rn-bsn,
